#srch1
CSV1C-114	岩石胸甲 rock chestplate tool csv1c g
CSV5C-118	巡逻帽 patrol cap tool csv5c g
CSV8C-185	巧可果 occa berry tool csv8c h
CSM2cC-133	巨型炸弹 giant bomb tool csm2cc c
CSM2cC-190	巨型炸弹 giant bomb tool csm2cc c
CSV9C-191	希望护身符 amulet of hope tool ace spec csv9c h
CSM1aC-134	干劲腰带 hustle belt tool csm1ac b
CSM2DC-287	干劲腰带 hustle belt tool csm2dc b
CSV7C-186	幸存锻炼器 survival brace tool ace spec csv7c h
CSV7C-190	幸运头盔 lucky helmet tool csv7c h
CSVH5aC-017	幸运头盔 lucky helmet tool csvh5ac h
CS1DC-188	幸运蛋 lucky egg tool cs1dc d
CS1aC-127	幸运蛋 lucky egg tool cs1ac d
CS6.5C-064	应急果冻 emergency jelly tool cs6 5c f
CSM2bC-135	异兽法宝 beast bringer tool csm2bc c
CSM2aC-136	异兽秘石 beastite tool csm2ac c
CSM1bC-129	弱点保险 weakness policy tool csm1bc a
CSM2DC-282	弱点保险 weakness policy tool csm2dc a
CSMPjC-007	弱点保险 weakness policy tool csmpjc a
CS6.5C-065	恐慌面具 panic mask tool cs6 5c f
CSM1cC-131	战斗存储碟 fire memory tool csm1cc a
CSV8C-190	手持循环扇 handheld fan tool csv8c h
CSVH1C-049	打空保险 blunder policy tool  "single strike"  csvh1c e
SSP-124	打空保险 blunder policy tool ssp e
CSV6C-120	招式学习器 临危一击 technical machine  crisis punch tool csv6c g
CSVH3aC-017	招式学习器 临危一击 technical machine  crisis punch tool csvh3ac g
CSV4C-120	招式学习器 暗中奇袭 technical machine  blindside tool csv4c g
CSVH4aC-017	招式学习器 暗中奇袭 technical machine  blindside tool csvh4ac g
CSV4C-119	招式学习器 能量涡轮 technical machine  turbo energize tool csv4c g
CSVH4aC-016	招式学习器 能量涡轮 technical machine  turbo energize tool csvh4ac g
CSV9C-195	招式学习器 萤石 technical machine  fluorite tool csv9c h
CSV5C-119	招式学习器 进化 technical machine  evolution tool csv5c g
CSV9.5C-180	招式学习器 进化 technical machine  evolution tool csv9 5c g
CSVM1bC-025	招式学习器 进化 technical machine  evolution tool csvm1bc g
CSVM2bC-022	招式学习器 进化 technical machine  evolution tool csvm2bc g
CSVM2cC-023	招式学习器 进化 technical machine  evolution tool csvm2cc g
CSV5C-120	招式学习器 退化 technical machine  devolution tool csv5c g
CSV9.5C-181	招式学习器 退化 technical machine  devolution tool csv9 5c g
CSVM1aC-024	招式学习器 退化 technical machine  devolution tool csvm1ac g
CSVM2bC-023	招式学习器 退化 technical machine  devolution tool csvm2bc g
CS4aC-121	挖洞手套 digging gloves tool cs4ac e
CSVE1C-126	挖洞手套 digging gloves tool csve1c e
CS1DC-186	文柚果 sitrus berry tool cs1dc d
CS1aC-126	文柚果 sitrus berry tool cs1ac d
CS4.5C-056	月亮与太阳徽章 moon & sun badge tool cs4 5c e
CS2.1C-006	望远镜 telescopic sight tool cs2 1c d
CS2bC-108	望远镜 telescopic sight tool cs2bc d
CS2bC-143	望远镜 telescopic sight tool cs2bc d
CS1DC-191	木子果 lum berry tool cs1dc d
CS1bC-130	木子果 lum berry tool cs1bc d
CS5.5C-061	机关臂 windup arm tool cs5 5c f
CSV7C-189	极限腰带 maximum belt tool ace spec csv7c h
CSV9.5C-179	极限腰带 maximum belt tool ace spec csv9 5c h
CS6.5C-066	森林封印石 forest seal stone tool cs6 5c f
CSVM1aC-022	森林封印石 forest seal stone tool csvm1ac f
CSVM1cC-020	森林封印石 forest seal stone tool csvm1cc f
CS4aC-123	橡胶手套 rubber gloves tool cs4ac e
CS3bC-109	正义手套 justified gloves tool cs3bc e
CSM1DC-272	毒针 poison barb tool csm1dc a
CSM2DC-284	毒针 poison barb tool csm2dc a
CS1DC-189	气球 air balloon tool cs1dc d
CS1bC-128	气球 air balloon tool cs1bc d
CS1bC-197	气球 air balloon tool cs1bc d
CSAC-017	气球 air balloon tool csac d
CSV7C-188	沉重接力棒 heavy baton tool csv7c h
CSVM1cC-019	沉重接力棒 heavy baton tool csvm1cc h
CS1DC-187	活力头带 vitality band tool cs1dc d
CS1bC-126	活力头带 vitality band tool cs1bc d
CS3DC-145	活力头带 vitality band tool cs3dc d
CSV2C-115	活力头带 vitality band tool csv2c g
CSVH1C-050	活力头带 vitality band tool  "single strike"  csvh1c g
CSVH2C-050	活力头带 vitality band tool csvh2c g
CSVH4C-042	活力头带 vitality band tool csvh4c g
CSVM1aC-019	活力头带 vitality band tool csvm1ac g
CSVSC-057	活力头带 vitality band tool csvsc g
CS4.5C-055	海绵手套 spongy gloves tool cs4 5c e
CS4bC-119	消灾手套 cleansing gloves tool cs4bc e
CSVE1C-128	消灾手套 cleansing gloves tool csve1c e
